Taxa	Coverage-Of-All-Bams	Bams(A list of bams of the taxon, seperated by the delimiter of Tab)
TW0060	11.278	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0060.sub.bam
TW0061	11.893	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0061.sub.bam
TW0062	10.979	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0062.sub.bam
TW0063	12.735	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0063.sub.bam
TW0064	11.474	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0064.sub.bam
TW0065	11.222	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0065.sub.bam
TW0066	11.152	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0066.sub.bam
TW0067	11.124	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0067.sub.bam
TW0068	11.085	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0068.sub.bam
TW0069	10.953	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0069.sub.bam
TW0070	11.316	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0070.sub.bam
TW0071	11.663	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0071.sub.bam
TW0072	11.028	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0072.sub.bam
TW0073	11.118	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0073.sub.bam
TW0074	12.079	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0074.sub.bam
TW0075	11.528	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0075.sub.bam
TW0076	11.538	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0076.sub.bam
TW0077	11.274	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0077.sub.bam
TW0078	11.303	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0078.sub.bam
TW0079	12.461	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0079.sub.bam
TW0080	11.102	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0080.sub.bam
TW0081	11.092	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0081.sub.bam
TW0082	11.375	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0082.sub.bam
TW0083	11.466	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0083.sub.bam
TW0084	11.289	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0084.sub.bam
TW0085	11.144	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0085.sub.bam
TW0086	11.581	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0086.sub.bam
TW0087	11.543	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0087.sub.bam
TW0088	11.366	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0088.sub.bam
TW0089	12.168	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0089.sub.bam
TW0090	11.129	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0090.sub.bam
TW0091	11.217	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0091.sub.bam
TW0092	11.142	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0092.sub.bam
TW0093	10.953	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0093.sub.bam
TW0094	11.3	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0094.sub.bam
TW0095	11.237	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0095.sub.bam
TW0096	12.262	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0096.sub.bam
TW0097	11.213	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0097.sub.bam
TW0098	11.267	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0098.sub.bam
TW0099	11.36	/Users/feilu/Documents/analysisL/softwareTest/pgl/fastCall/bams/TW0099.sub.bam
